Country,Count
Afghanistan,42
Aland Islands,3
Albania,12
Algeria,22
American Samoa,7
Andorra,5
Angola,47
Anguilla,2
Antigua and Barbuda,4
Argentina,40
Armenia,14
Aruba,6
Australia,319
Austria,36
Azerbaijan,38
Bahamas,5
Bahrain,14
Bangladesh,45
Barbados,3
Belarus,11
Belgium,36
Belize,12
Benin,56
Bermuda,3
Bhutan,31
Bolivia,45
Bosnia and Herzegovina,12
Botswana,38
Brazil,228
British Indian Ocean Territory,1
British Virgin Islands,2
Brunei,17
Bulgaria,25
Burkina Faso,71
Burundi,4
Cambodia,29
Cameroon,275
Canada,195
Cape Verde Islands,3
Caribbean Netherlands,6
Cayman Islands,4
Central African Rep.,83
Chad,131
Chile,17
China,305
China–Hong Kong,11
China–Macao,7
China–Taiwan,35
Christmas Island,2
Cocos (Keeling) Islands,2
Colombia,89
Comoros,6
Congo,64
Cook Islands,5
Costa Rica,12
Croatia,27
Cuba,5
Curacao,6
Cyprus,16
Czechia,26
Côte d'Ivoire,101
Dem. Rep. Congo,214
Denmark,39
Djibouti,10
Dominica,5
Dominican Republic,9
East Timor,21
Ecuador,24
Egypt,23
El Salvador,5
Equatorial Guinea,16
Eritrea,17
Estonia,20
Eswatini,7
Ethiopia,91
Falkland Islands,2
Faroe Islands,2
Fiji,21
Finland,38
France,42
French Guiana,16
French Polynesia,10
Gabon,44
Gambia,24
Georgia,27
Germany,95
Ghana,87
Gibraltar,3
Greece,34
Greenland,3
Grenada,4
Guadeloupe,4
Guam,9
Guatemala,27
Guernsey,4
Guinea,40
Guinea-Bissau,30
Guyana,18
Haiti,4
Honduras,12
Hungary,21
Iceland,2
India,453
Indonesia,710
Iran,84
Iraq,27
Ireland,13
Isle of Man,2
Israel,53
Italy,47
Jamaica,8
Japan,19
Jersey,4
Jordan,14
Kazakhstan,48
Kenya,72
Kiribati,3
Kuwait,7
Kyrgyzstan,33
Laos,92
Latvia,16
Lebanon,16
Lesotho,5
Liberia,34
Libya,29
Liechtenstein,5
Lithuania,15
Luxembourg,16
Macedonia,15
Madagascar,20
Malawi,24
Malaysia,144
Maldives,2
Mali,71
Malta,8
Marshall Islands,2
Martinique,4
Mauritania,8
Mauritius,14
Mayotte,5
Mexico,292
Micronesia,19
Moldova,14
Monaco,5
Mongolia,14
Montenegro,13
Montserrat,2
Morocco,15
Mozambique,47
Myanmar,126
Namibia,33
Nauru,9
Nepal,129
Netherlands,50
New Caledonia,40
New Zealand,65
Nicaragua,11
Niger,23
Nigeria,524
Niue,3
Norfolk Island,2
North Korea,1
Northern Mariana Islands,7
Norway,47
Oman,31
Pakistan,85
Palau,6
Palestine,10
Panama,18
Papua New Guinea,840
Paraguay,27
Peru,94
Philippines,191
Pitcairn,2
Poland,27
Portugal,23
Puerto Rico,12
Qatar,18
Romania,29
Russia,159
Rwanda,5
Réunion,8
Saint Barthélemy,3
Saint Helena,1
Saint Kitts and Nevis,3
Saint Lucia,4
Saint Martin,5
Saint Pierre and Miquelon,1
Saint Vincent and the Grenadines,3
Samoa,3
San Marino,2
Saudi Arabia,25
Senegal,46
Serbia,24
Seychelles,3
Sierra Leone,26
Singapore,31
Sint Maarten,9
Slovakia,15
Slovenia,15
Solomon Islands,72
Somalia,14
South Africa,42
South Korea,5
S. Sudan,69
Spain,34
Sri Lanka,12
Sudan,76
Suriname,27
Sweden,37
Switzerland,33
Syria,24
São Tomé e Príncipe,8
Tajikistan,33
Tanzania,126
Thailand,88
Togo,46
Tokelau,5
Tonga,4
Trinidad and Tobago,9
Tunisia,15
Turkey,54
Turkmenistan,31
Turks and Caicos Islands,4
Tuvalu,3
U.S. Virgin Islands,6
Uganda,45
Ukraine,48
United Arab Emirates,27
United Kingdom,85
United States of America,335
Uruguay,14
Uzbekistan,37
Vanuatu,116
Vatican State,2
Venezuela,48
Vietnam,112
Wallis and Futuna,3
W. Sahara,4
Yemen,17
Zambia,55
Zimbabwe,24
